ticker,w_latest,bucket,sector
NVDA,0.0746469993265118,Big,Information Technology
AAPL,0.0687584705516007,Big,Information Technology
MSFT,0.0601430266778816,Big,Information Technology
AMZN,0.0404365642569221,Big,Consumer Discretionary
GOOGL,0.0298818584867384,Big,Communication Services
GOOG,0.0277699926126,Big,Communication Services
AVGO,0.0275358809504589,Big,Information Technology
TSLA,0.0222936128977552,Big,Consumer Discretionary
META,0.0221824799702205,Big,Communication Services
LLY,0.016256243051669,Big,Health Care
WMT,0.0143922805970688,Big,Consumer Staples
JPM,0.0139053040969633,Big,Financials
BRK-B,0.0118599745495,Big,Financials
CMCSA,0.0017037315167969,Small,Communication Services
OMC,0.0002476471226489,Small,Communication Services
TTD,0.0002992372549621,Small,Communication Services
NFLX,0.0075756981702924,Small,Communication Services
ULTA,0.0003962332649774,Small,Consumer Discretionary
HAS,0.0001905033221732,Small,Consumer Discretionary
MAR,0.001360712928156,Small,Consumer Discretionary
BKNG,0.0026342262208954,Small,Consumer Discretionary
KR,0.0007503197424058,Small,Consumer Staples
STZ,0.0003987075720781,Small,Consumer Staples
CAG,0.0001456933765731,Small,Consumer Staples
GIS,0.0004418636642291,Small,Consumer Staples
DVN,0.0003833009841509,Small,Energy
PSX,0.0009234673159862,Small,Energy
OXY,0.0006997676510543,Small,Energy
OKE,0.0007606580951809,Small,Energy
NDAQ,0.0008579050288364,Small,Financials
FDS,0.0001776721173454,Small,Financials
EG,0.0002240074059981,Small,Financials
KEY,0.0003338112910436,Small,Financials
HCA,0.0019203953051354,Small,Health Care
PFE,0.0024401917520874,Small,Health Care
ABBV,0.0071575295408386,Small,Health Care
A,0.000734943940036,Small,Health Care
AXON,0.0007059954527314,Small,Industrials
GWW,0.0007759879013943,Small,Industrials
DOV,0.0004315553409149,Small,Industrials
LDOS,0.0004086758385101,Small,Industrials
ADI,0.001958923496353,Small,Information Technology
GLW,0.0011676618513808,Small,Information Technology
TDY,0.0003982364114698,Small,Information Technology
PTC,0.0003534002220776,Small,Information Technology
ALB,0.0002356620765917,Small,Materials
LYB,0.0002471539899285,Small,Materials
NUE,0.0005976059598956,Small,Materials
NEM,0.0015615971097254,Small,Materials
WELL,0.0023518781800875,Small,Real Estate
WY,0.0002691005082415,Small,Real Estate
REG,0.0002221690577331,Small,Real Estate
PLD,0.0020026486566466,Small,Real Estate
WEC,0.0006196577622892,Small,Utilities
ES,0.0004150989397131,Small,Utilities
EVRG,0.0002992903404142,Small,Utilities
AEP,0.0011062007773459,Small,Utilities
EA,0.0008603104140787,Small,Communication Services
DECK,0.0002126576023047,Small,Consumer Discretionary
LW,0.0001377669571899,Small,Consumer Staples
APA,0.0001455908790206,Small,Energy
ALL,0.0009612606821181,Small,Financials
PODD,0.000399301601753,Small,Health Care
LHX,0.0008905748140116,Small,Industrials
SWKS,0.0001595514253192,Small,Information Technology
