ticker,w_latest,bucket,sector
NVDA,0.0746469993265118,Big,Information Technology
AAPL,0.0687584705516007,Big,Information Technology
MSFT,0.0601430266778816,Big,Information Technology
AMZN,0.0404365642569221,Big,Consumer Discretionary
GOOGL,0.0298818584867384,Big,Communication Services
GOOG,0.0277699926126,Big,Communication Services
AVGO,0.0275358809504589,Big,Information Technology
TSLA,0.0222936128977552,Big,Consumer Discretionary
META,0.0221824799702205,Big,Communication Services
LLY,0.016256243051669,Big,Health Care
WMT,0.0143922805970688,Big,Consumer Staples
JPM,0.0139053040969633,Big,Financials
BRK-B,0.0118599745495,Big,Financials
NWS,9.27810719661552e-05,Small,Communication Services
NFLX,0.0075756981702924,Small,Communication Services
FOXA,0.000234596894217,Small,Communication Services
NWSA,0.000163872106941,Small,Communication Services
MTCH,0.000130570547672,Small,Communication Services
DIS,0.0031909105268611,Small,Communication Services
EA,0.0008603104140787,Small,Communication Services
PSKY,0.0002918695967732,Small,Communication Services
IPG,0.0001601681315479,Small,Communication Services
TMUS,0.0040159309693743,Small,Communication Services
LYV,0.0005199092563827,Small,Communication Services
T,0.0031507949617226,Small,Communication Services
OMC,0.0002476471226489,Small,Communication Services
FOX,0.0002387958306801,Small,Communication Services
CMCSA,0.0017037315167969,Small,Communication Services
TTWO,0.0007457494023546,Small,Communication Services
WBD,0.000984074505984,Small,Communication Services
CHTR,0.0004502636214586,Small,Communication Services
TTD,0.0002992372549621,Small,Communication Services
VZ,0.0029796336993998,Small,Communication Services
TJX,0.0028886059320637,Small,Consumer Discretionary
WSM,0.0003714215596172,Small,Consumer Discretionary
RL,0.000225791488186,Small,Consumer Discretionary
F,0.0008606238223636,Small,Consumer Discretionary
LVS,0.000745275269698,Small,Consumer Discretionary
MHK,0.0001164822925006,Small,Consumer Discretionary
GM,0.0011245086695806,Small,Consumer Discretionary
EXPE,0.0004963434211458,Small,Consumer Discretionary
LOW,0.0022520921481374,Small,Consumer Discretionary
GRMN,0.0006337006641721,Small,Consumer Discretionary
PHM,0.0004019688323254,Small,Consumer Discretionary
BKNG,0.0026342262208954,Small,Consumer Discretionary
YUM,0.0007280175889934,Small,Consumer Discretionary
RCL,0.001234419761128,Small,Consumer Discretionary
NCLH,0.0001420147976324,Small,Consumer Discretionary
SBUX,0.0016634406014784,Small,Consumer Discretionary
MCD,0.0037759772093825,Small,Consumer Discretionary
NKE,0.0012801508399515,Small,Consumer Discretionary
DHI,0.0007344085268277,Small,Consumer Discretionary
CCL,0.0005315025371149,Small,Consumer Discretionary
KR,0.0007503197424058,Small,Consumer Staples
CL,0.0011181103970475,Small,Consumer Staples
TGT,0.0006824107660416,Small,Consumer Staples
KHC,0.0005130731541498,Small,Consumer Staples
KMB,0.0005982615909423,Small,Consumer Staples
CHD,0.0003458074449878,Small,Consumer Staples
BG,0.0003134537077092,Small,Consumer Staples
MKC,0.0002958467693602,Small,Consumer Staples
CPB,0.0001615471540691,Small,Consumer Staples
HRL,0.0002138952107959,Small,Consumer Staples
EL,0.0003788263091373,Small,Consumer Staples
SYY,0.00062894614143,Small,Consumer Staples
K,0.0004976529837264,Small,Consumer Staples
CAG,0.0001456933765731,Small,Consumer Staples
MDLZ,0.0012606378794219,Small,Consumer Staples
MO,0.0016742457316896,Small,Consumer Staples
GIS,0.0004418636642291,Small,Consumer Staples
KVUE,0.0005463979929477,Small,Consumer Staples
PM,0.0041418711448468,Small,Consumer Staples
COST,0.0068288721328333,Small,Consumer Staples
EQT,0.0006100138595985,Small,Energy
BKR,0.0008267114561028,Small,Energy
MPC,0.0009821235740849,Small,Energy
EXE,0.0004694093011785,Small,Energy
OXY,0.0006997676510543,Small,Energy
TPL,0.0003530696351363,Small,Energy
