ticker,y,mean_ret,vol,avg_vol,w_latest,bucket,is_big
NVDA,1,0.0013075351341967584,0.03142093176880579,224637830.08730158,0.0746469993265118,Big,1
AAPL,1,0.0009038069826169467,0.02053788632062824,54529060.996031746,0.0687584705516007,Big,1
MSFT,1,0.0006624797859846939,0.015357386893567112,21981495.174603175,0.0601430266778816,Big,1
AMZN,1,0.0005768552307892468,0.022088424448081477,44387938.44444445,0.0404365642569221,Big,1
GOOGL,1,0.002356172441747953,0.020863838049532884,35654792.82936508,0.0298818584867384,Big,1
GOOG,1,0.002318679399611986,0.020537840848251016,23308129.76190476,0.0277699926126,Big,1
AVGO,1,0.003617469958293774,0.03657340775683174,26808941.90079365,0.0275358809504589,Big,1
TSLA,1,0.00136996051925948,0.04109249292921479,98764020.59523809,0.0222936128977552,Big,1
META,1,0.0004936448364489367,0.02396828395338265,15057822.043650793,0.0221824799702205,Big,1
LLY,1,0.0017151333320594507,0.025430277058094062,4002641.003968254,0.016256243051669,Big,1
WMT,1,0.0009156606100877504,0.015806339786050894,18437166.023809522,0.0143922805970688,Big,1
JPM,1,0.0010504883694270378,0.015274239727563291,9248411.611111112,0.0139053040969633,Big,1
BRK-B,1,0.0003576330079977282,0.011750326507503314,4705271.817460317,0.0118599745495,Big,1
CMCSA,0,-0.0014973879437965004,0.01746760918616787,24775702.281746034,0.0017037315167969,Small,0
OMC,0,-0.0007832390909326063,0.019633240851542028,3465864.861111111,0.0002476471226489,Small,0
TTD,0,-0.0032633723887611397,0.04714941506243155,11227742.023809524,0.0002992372549621,Small,0
NFLX,1,0.0008818437957285173,0.021045583334802442,38834216.57936508,0.0075756981702924,Small,0
ULTA,1,0.0019017238128607842,0.02399666101894031,833508.0198412698,0.0003962332649774,Small,0
HAS,1,0.0013901832930440293,0.022506322189068624,1931429.242063492,0.0001905033221732,Small,0
MAR,1,0.00042832325010357005,0.018187679961690635,1573863.9365079366,0.001360712928156,Small,0
BKNG,0,-1.5662036628360325e-05,0.01787702388826009,243934.17460317462,0.0026342262208954,Small,0
KR,1,0.0007553859656039932,0.016223355251074986,6971300.507936508,0.0007503197424058,Small,0
STZ,0,-0.0020233872045647755,0.019778771719609477,2397184.126984127,0.0003987075720781,Small,0
CAG,0,-0.0012927660053278851,0.015822514332104555,8479702.714285715,0.0001456933765731,Small,0
GIS,0,-0.0008248208928738785,0.01433883291998791,5547669.150793651,0.0004418636642291,Small,0
DVN,0,0.00016874961513976196,0.026256564440934174,8854579.281746032,0.0003833009841509,Small,0
PSX,1,0.00046760635439649557,0.02239046329551845,3067065.9603174604,0.0009234673159862,Small,0
OXY,0,-0.0004737738700778794,0.02291745773108515,11442695.075396825,0.0006997676510543,Small,0
OKE,0,-0.001483662234369109,0.019531085736000958,3855694.0476190476,0.0007606580951809,Small,0
NDAQ,1,0.0005202772215169236,0.014927761487580555,3196638.488095238,0.0008579050288364,Small,0
FDS,0,-0.00195657884905029,0.017007398795837913,440833.80555555556,0.0001776721173454,Small,0
EG,0,-0.0005584857916292541,0.016370228642686422,398959.81746031746,0.0002240074059981,Small,0
KEY,0,0.00011868683787511258,0.01953869872286073,18123022.555555556,0.0003338112910436,Small,0
HCA,1,0.0017229448726674016,0.016883450149764608,1478180.115079365,0.0019203953051354,Small,0
PFE,1,0.00043231794341938546,0.01668306404208413,50514840.07936508,0.0024401917520874,Small,0
ABBV,1,0.0016369650659776762,0.016392456688838066,6374350.996031746,0.0071575295408386,Small,0
A,1,0.0008758572771636882,0.019886267785567135,1879463.1746031747,0.000734943940036,Small,0
AXON,0,-5.495969316642295e-05,0.03364893092434312,750826.5873015873,0.0007059954527314,Small,0
GWW,0,-0.000708821564549428,0.01439843154692006,284149.25793650793,0.0007759879013943,Small,0
DOV,0,-0.00011255794300829989,0.017259740015049152,1039033.4603174604,0.0004315553409149,Small,0
LDOS,1,0.0007368066960650606,0.016614126646697078,1214265.103174603,0.0004086758385101,Small,0
ADI,1,0.0007473636956428532,0.024610086205615837,3708381.865079365,0.001958923496353,Small,0
GLW,1,0.0023801484853864427,0.021977464742495244,6051855.547619048,0.0011676618513808,Small,0
TDY,1,0.0003078239436372108,0.014595936236007289,315358.876984127,0.0003982364114698,Small,0
PTC,0,-0.00013901356354488156,0.021365256787161578,968580.5396825396,0.0003534002220776,Small,0
ALB,1,0.0010891121971700662,0.038712176938507495,3424492.404761905,0.0002356620765917,Small,0
LYB,0,-0.0017704176830507685,0.02578031606086916,4084131.880952381,0.0002471539899285,Small,0
NUE,1,0.00046097588216972927,0.02373451365089868,2205020.5396825396,0.0005976059598956,Small,0
NEM,1,0.003041560028828787,0.025055444430073123,11490769.936507937,0.0015615971097254,Small,0
WELL,1,0.0016568240960534572,0.01358565070607307,3017645.9206349207,0.0023518781800875,Small,0
WY,0,-0.0010943496684454402,0.017435533920230294,4275299.01984127,0.0002691005082415,Small,0
REG,0,2.985550775604289e-05,0.01241356930387131,1101802.142857143,0.0002221690577331,Small,0
PLD,1,0.0006836874648216764,0.018327642024928453,4187833.869047619,0.0020026486566466,Small,0
WEC,1,0.0006401768004582665,0.010656067600824175,2121616.25,0.0006196577622892,Small,0
ES,1,0.0005309365205845162,0.01741217476556316,2710640.619047619,0.0004150989397131,Small,0
EVRG,1,0.0008671830328774142,0.010330848519591844,2238573.6746031744,0.0002992903404142,Small,0
AEP,1,0.0010946683917492236,0.012206654947729762,3411921.3928571427,0.0011062007773459,Small,0
EA,1,0.0009742017870067607,0.020652179764005553,3292404.3333333335,0.0008603104140787,Small,0
