Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-15 00:00:00-04:00,17.585256889284807,17.60490567113804,14.883611220227307,15.080095291137695,3531700,0.0,0.0
2014-04-16 00:00:00-04:00,15.080094468593591,15.807082493210896,14.942555813839466,15.345346450805664,266500,0.0,0.0
2014-04-17 00:00:00-04:00,15.669546344883004,16.25899580903172,15.43376655922352,15.964271545410156,262100,0.0,0.0
2014-04-21 00:00:00-04:00,16.298291799378752,16.298291799378752,15.728490237399615,15.81690788269043,78000,0.0,0.0
2014-04-22 00:00:00-04:00,15.915149418880105,16.395549569703668,15.482885597020667,15.699016571044922,96100,0.0,0.0
2014-04-23 00:00:00-04:00,15.541830426141154,15.895501004353733,15.522182581187947,15.787434577941895,56500,0.0,0.0
2014-04-24 00:00:00-04:00,15.99374303791133,16.013389945956686,15.473061561584473,15.473061561584473,42800,0.0,0.0
2014-04-25 00:00:00-04:00,15.473060695510307,15.473060695510307,14.981852419462362,15.030973434448242,71600,0.0,0.0
2014-04-28 00:00:00-04:00,15.158686322008727,15.384641658755973,14.254863101209047,14.706774711608887,197500,0.0,0.0
2014-04-29 00:00:00-04:00,14.74607383341183,15.178336738146356,14.74607383341183,15.01132583618164,68500,0.0,0.0
2014-04-30 00:00:00-04:00,14.90325929007042,15.237281070373452,14.795193805756973,15.139039039611816,53600,0.0,0.0
2014-05-01 00:00:00-04:00,15.021148953838226,15.620422709730938,15.021148953838226,15.3944673538208,39900,0.0,0.0
2014-05-02 00:00:00-04:00,15.414114144929917,15.773678748673186,15.414114144929917,15.522180557250977,22300,0.0,0.0
2014-05-05 00:00:00-04:00,15.414114605990918,15.7088397459194,15.402326462346739,15.404291152954102,13300,0.0,0.0
2014-05-06 00:00:00-04:00,15.355170218084671,15.355170218084671,14.981851830534508,15.040797233581543,31900,0.0,0.0
2014-05-07 00:00:00-04:00,14.99167836149053,15.021150598770284,14.687128786581303,14.785370826721191,92600,0.0,0.0
2014-05-08 00:00:00-04:00,14.981852891153471,15.058481452086728,14.913084030151367,14.913084030151367,18600,0.0,0.0
2014-05-09 00:00:00-04:00,14.854137470896262,14.903258483619023,13.871720964062604,14.254863739013672,76000,0.0,0.0
2014-05-12 00:00:00-04:00,14.470993892810593,14.608532533419904,13.84224796295166,13.84224796295166,111200,0.0,0.0
2014-05-13 00:00:00-04:00,14.313808115750804,14.610497943941157,13.434545834792896,13.626116752624512,90800,0.0,0.0
2014-05-14 00:00:00-04:00,13.901195530823072,14.038734202157263,13.665415754454928,13.822602272033691,105600,0.0,0.0
2014-05-15 00:00:00-04:00,13.75382989666882,14.058379399476252,13.370687155118564,14.03873062133789,110100,0.0,0.0
2014-05-16 00:00:00-04:00,14.03873249970137,14.421875292515615,13.331392319469467,13.56717300415039,119700,0.0,0.0
2014-05-19 00:00:00-04:00,13.606469196742426,13.606469196742426,12.869656805660462,13.007194519042969,202500,0.0,0.0
2014-05-20 00:00:00-04:00,13.262623582567487,14.048557019285909,13.134909317121517,13.75383186340332,141100,0.0,0.0
2014-05-21 00:00:00-04:00,13.999436003821236,13.999436003821236,13.62611759795735,13.75383186340332,47400,0.0,0.0
